Source,Target,Type,edgeid,weight
87,95,undirected,4867,0.3665
87,96,undirected,4868,0.3747
87,97,undirected,4869,0.4093
87,98,undirected,4870,0.4872
87,99,undirected,4871,0.2685
88,89,undirected,4873,0.6643
88,93,undirected,4877,0.3601
88,94,undirected,4878,0.3694
88,95,undirected,4879,0.2678
88,96,undirected,4880,0.2843
88,97,undirected,4881,0.4079
88,98,undirected,4882,0.3837
89,93,undirected,4888,0.3659
89,94,undirected,4889,0.2978
89,97,undirected,4892,0.2823
89,98,undirected,4893,0.4682
90,91,undirected,4896,0.4645
90,100,undirected,4905,0.4938
92,93,undirected,4915,0.4117
92,98,undirected,4920,0.2819
92,99,undirected,4921,0.3575
93,94,undirected,4923,0.4779
93,97,undirected,4926,0.3672
93,98,undirected,4927,0.4486
93,99,undirected,4928,0.2920
94,95,undirected,4930,0.4289
94,96,undirected,4931,0.3441
94,97,undirected,4932,0.4023
95,96,undirected,4936,0.5182
96,97,undirected,4941,0.4942
97,98,undirected,4945,0.4533
98,99,undirected,4948,0.4706
